,开盘价,成交量,成交额,换手率,收盘价,日期,最低价,最高价,涨跌幅度,涨跌额,股票代码,股票名称
0,4.1,10274700,41952671.0,1.71,4.1,2022-03-28,3.98,4.15,0.49,0.02,SZ002659,凯文教育
1,4.13,16160900,66348295.0,2.72,4.03,2022-03-29,4.0,4.25,-1.71,-0.07,SZ002659,凯文教育
2,4.04,11578500,46467914.0,1.95,4.03,2022-03-30,3.97,4.07,0.0,0.0,SZ002659,凯文教育
3,4.04,11193302,45554270.0,1.89,4.06,2022-03-31,4.0,4.14,0.74,0.03,SZ002659,凯文教育
4,4.04,12807400,51500930.0,2.14,4.08,2022-04-01,3.97,4.08,0.49,0.02,SZ002659,凯文教育
5,4.16,42028900,182881371.0,7.08,4.35,2022-04-06,4.15,4.49,6.62,0.27,SZ002659,凯文教育
6,4.3,25822800,111609348.0,4.34,4.3,2022-04-07,4.25,4.4,-1.15,-0.05,SZ002659,凯文教育
7,4.27,30766800,133314052.0,5.1,4.37,2022-04-08,4.19,4.46,1.63,0.07,SZ002659,凯文教育
8,4.36,27727200,122429123.0,4.68,4.37,2022-04-11,4.3,4.51,0.0,0.0,SZ002659,凯文教育
9,4.31,40568683,182705848.0,6.79,4.56,2022-04-12,4.3,4.67,4.35,0.19,SZ002659,凯文教育
10,4.47,36252700,164945961.0,6.13,4.48,2022-04-13,4.38,4.74,-1.75,-0.08,SZ002659,凯文教育
11,4.45,32108302,147946826.0,5.42,4.62,2022-04-14,4.42,4.73,3.13,0.14,SZ002659,凯文教育
12,4.59,26044600,116997471.0,4.37,4.41,2022-04-15,4.38,4.67,-4.55,-0.21,SZ002659,凯文教育
13,4.39,19821372,88314665.0,3.35,4.47,2022-04-18,4.32,4.54,1.36,0.06,SZ002659,凯文教育
14,4.45,20872700,93448262.0,3.5,4.53,2022-04-19,4.37,4.6,1.34,0.06,SZ002659,凯文教育
15,4.5,21403684,95726477.0,3.57,4.5,2022-04-20,4.39,4.57,-0.66,-0.03,SZ002659,凯文教育
16,4.95,84835265,405031486.0,14.31,4.46,2022-04-21,4.46,4.95,-0.89,-0.04,SZ002659,凯文教育
17,4.15,55165784,225389915.0,9.37,4.01,2022-04-22,4.01,4.27,-10.09,-0.45,SZ002659,凯文教育
18,3.97,35863000,134695848.0,6.02,3.61,2022-04-25,3.61,3.97,-9.98,-0.4,SZ002659,凯文教育
19,3.56,21365200,77764139.0,3.61,3.53,2022-04-26,3.5,3.74,-2.22,-0.08,SZ002659,凯文教育
20,3.36,16677800,57682067.0,2.79,3.55,2022-04-27,3.36,3.56,0.57,0.02,SZ002659,凯文教育
21,3.46,19651900,66606245.0,3.32,3.36,2022-04-28,3.26,3.53,-5.35,-0.19,SZ002659,凯文教育
22,3.39,25459020,91757481.0,4.32,3.7,2022-04-29,3.39,3.7,10.12,0.34,SZ002659,凯文教育
23,3.7,26749441,100684154.0,4.52,3.81,2022-05-05,3.56,3.9,2.97,0.11,SZ002659,凯文教育
24,3.74,15983119,59023122.0,2.69,3.64,2022-05-06,3.61,3.8,-4.46,-0.17,SZ002659,凯文教育
25,3.69,10296081,37691770.0,1.72,3.65,2022-05-09,3.6,3.72,0.27,0.01,SZ002659,凯文教育
26,3.61,13853200,49621387.0,2.34,3.63,2022-05-10,3.5,3.65,-0.55,-0.02,SZ002659,凯文教育
27,3.6,14470600,52658761.0,2.45,3.6,2022-05-11,3.58,3.7,-0.83,-0.03,SZ002659,凯文教育
28,3.57,10129100,36096182.0,1.71,3.61,2022-05-12,3.48,3.64,0.28,0.01,SZ002659,凯文教育
29,3.6,8454300,30407151.0,1.42,3.6,2022-05-13,3.56,3.66,-0.28,-0.01,SZ002659,凯文教育
30,3.59,7360302,26488264.0,1.24,3.6,2022-05-16,3.58,3.63,0.0,0.0,SZ002659,凯文教育
31,3.59,9137300,32755079.0,1.54,3.6,2022-05-17,3.54,3.63,0.0,0.0,SZ002659,凯文教育
32,3.59,19126400,71028421.0,3.18,3.71,2022-05-18,3.56,3.79,3.06,0.11,SZ002659,凯文教育
33,3.67,15464200,57921429.0,2.6,3.81,2022-05-19,3.64,3.83,2.7,0.1,SZ002659,凯文教育
34,3.8,14279600,54884089.0,2.4,3.8,2022-05-20,3.79,3.9,-0.26,-0.01,SZ002659,凯文教育
35,3.81,12852483,50205266.0,2.17,3.93,2022-05-23,3.79,3.96,3.42,0.13,SZ002659,凯文教育
36,3.93,16964100,64494784.0,2.87,3.71,2022-05-24,3.68,3.97,-5.6,-0.22,SZ002659,凯文教育
37,3.73,9301100,35043126.0,1.58,3.82,2022-05-25,3.7,3.83,2.96,0.11,SZ002659,凯文教育
38,3.82,6892600,26182006.0,1.11,3.8,2022-05-26,3.75,3.85,-0.52,-0.02,SZ002659,凯文教育
39,3.81,44844415,184311646.0,7.62,4.18,2022-05-27,3.77,4.18,10.0,0.38,SZ002659,凯文教育
40,4.17,66837294,281706494.0,11.33,4.6,2022-05-30,4.01,4.6,10.05,0.42,SZ002659,凯文教育
41,4.66,95745518,452146833.0,16.16,4.62,2022-05-31,4.43,5.06,0.43,0.02,SZ002659,凯文教育
42,4.27,66283659,285234036.0,11.06,4.29,2022-06-01,4.18,4.46,-7.14,-0.33,SZ002659,凯文教育
43,4.26,45698216,192674605.0,7.63,4.13,2022-06-02,4.12,4.36,-3.73,-0.16,SZ002659,凯文教育
